NCO_2015_Code,NCO_2004_Code,NCO_Job_Title,ONET_Code,ONET_Job_Title,Match_Score,LM_AIOE_Raw,AI_Automatability,AI_Exposure_Category,Match_Type
5243.01,9113.1,Newspaper Boy,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.02,9113.2,Order Supplier/Supplier,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.03,9113.3,Home Deliveryman,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.0401,,Distributor Sales Representative,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.0501,,Field Sales Executive (FSE),41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.0502,,Sales Executive (Broadband),41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5243.99,9113.9,"Door-to-Door and Telephone Sales Persons,",41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",80,1.511,89.02116402116401,High,direct
5244.01,5220.22,"Operator, Call Centre",41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0101,,CRM Domestic Voice,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0102,,Associate – CRM,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0103,,Customer Relation Executive,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0201,,CRM Domestic Non-Voice,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0202,,Associate Customer Care (Non-Voice),41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0203,,Collections Executive,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0301,,Customer Care Executive,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0302,,Remote Helpdesk Technician,41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5244.0303,,Customer Care Executive (Call Centre),41-9041.00,Telemarketers,80,1.926,100.0,High,direct
5245.0101,5220.45,Petrol Pump Salesman/Fuel,53-6031.00,Automotive and Watercraft Service Attendants,80,-1.108,19.735449735449734,Low,direct
5249.0101,,Key Account Service Manager,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.02,5220.3,"Salesman, Wholesale Trade",41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.0201,,Commercial Manager (Zonal/Regional),41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.0202,,Commercial Executive/Officer,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.0301,5220.35,"Salesman, Retail Trade",41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.04,5220.5,Wholesale Dealer,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.05,5220.55,Retail Dealer,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.06,5220.6,Selling Agent,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5249.07,5220.65,Stockist,41-9099.00,"Sales and Related Workers, All Other",80,0.906142857142857,73.01965230536659,Medium-High,prefix_5
5311.01,5131.1,"Ayah, Institutional",39-9011.00,Childcare Workers,80,-0.167,44.62962962962963,Medium-Low,direct
5311.02,5131.3,Child Care Worker,39-9011.00,Childcare Workers,80,-0.167,44.62962962962963,Medium-Low,direct
5311.03,5121.4,Governess,39-9011.00,Childcare Workers,80,-0.167,44.62962962962963,Medium-Low,direct
5311.04,5131.2,"Ayah, Domestic",39-9011.00,Childcare Workers,80,-0.167,44.62962962962963,Medium-Low,direct
5311.99,5131.9,"Child Care Workers, Other",39-9011.00,Childcare Workers,80,-0.167,44.62962962962963,Medium-Low,direct
5322.0101,,Home Health Aide,31-1122.00,Personal Care Aides,80,-0.206,43.597883597883595,Medium-Low,version_map
5322.99,5133.9,"Home-Based Personal Care Workers, Other",31-1122.00,Personal Care Aides,80,-0.206,43.597883597883595,Medium-Low,version_map
5329.0101,,General Duty Assistant,31-9099.00,"Healthcare Support Workers, All Other",80,0.252,55.71428571428571,Medium-High,direct
5411.01,5161.1,Fire Fighter,33-2011.00,Firefighters,80,-1.287,15.000000000000004,Low,direct
5411.99,5161.9,"Fire Fighters, Other",33-2011.00,Firefighters,80,-1.287,15.000000000000004,Low,direct
5412.01,5162.1,Police Constable,33-3051.00,Police and Sheriff's Patrol Officers,95,-0.64,32.116402116402114,Medium-Low,direct
5412.02,5162.2,"Sepoy, Customs",33-3051.00,Police and Sheriff's Patrol Officers,80,-0.64,32.116402116402114,Medium-Low,direct
5412.03,5162.3,"Constable, Excise",33-3051.00,Police and Sheriff's Patrol Officers,95,-0.64,32.116402116402114,Medium-Low,direct
5412.99,5162.9,"Police Officers, Other",33-3051.00,Police and Sheriff's Patrol Officers,95,-0.64,32.116402116402114,Medium-Low,direct
5413.01,5163.1,"Warder, Jail",33-3012.00,Correctional Officers and Jailers,80,-0.669,31.349206349206348,Medium-Low,direct
5413.99,5163.9,"Prison Guards, Other",33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.0101,5169.1,Security Officer,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.0102,,Assignment Manager,33-9032.00,Security Guards,80,-0.423,37.857142857142854,Medium-Low,direct
5414.0111,,Security Supervisor,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.0121,,CCTV Supervisor,33-9032.00,Security Guards,80,-0.423,37.857142857142854,Medium-Low,direct
5414.0151,,Armed Security Guard,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.0171,,Personal Security Officer,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.02,5169.2,Home Guard,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.04,9152.2,Watchman,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
5414.0501,9152.3,Gateman/Unarmed Security Guard,33-9032.00,Security Guards,95,-0.423,37.857142857142854,Medium-Low,direct
6111.01,6111.1,"Cultivator, General",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0101,,Paddy Farmer,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",95,-0.158,44.867724867724874,Medium-Low,direct
6111.02,6111.2,"Cultivator, Crop",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0201,,Wheat Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0301,,Maize Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0401,,Pulses Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0501,,Soybean Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0601,,Cotton Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0701,,Sugarcane Cultivator,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.08,6112.1,"Cultivator, Fruit",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0851,,Coconut Grower,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",95,-1.432,11.164021164021168,Low,direct
6111.0852,,Friends of Coconut Tree,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",80,-1.432,11.164021164021168,Low,direct
