NCO_2015_Code,NCO_2004_Code,NCO_Job_Title,ONET_Code,ONET_Job_Title,Match_Score,LM_AIOE_Raw,AI_Automatability,AI_Exposure_Category,Match_Type
6223.0101,6153.1,"Fisherman, Deep Sea/Marine Capture",45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6223.99,6153.9,"Deep Sea Fishery Workers, Other",45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.03,6154.3,Trapper,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.04,6154.4,Tracker,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.05,6159.1,Fish Overseer,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.06,6159.2,Fisheries Inspector,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.07,6159.25,"Fieldman, Fish",45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.08,6159.3,Yard Officer,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.09,6159.35,Fish Hatcher,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.1,6159.4,Fish Curer,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.11,6159.45,Fish Meal Maker,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.12,6159.5,Rock Pilot,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",95,-0.758,28.994708994708994,Medium-Low,direct
6224.13,6159.55,Man Duck,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.14,6159.6,Net Maker,45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
6224.99,6159.9,"Hunters and Trappers, Other",45-3031.00,Fishing and Hunting Workers,80,-1.511,9.074074074074078,Low,version_map
